"","Q","Stage1score","Stage2score","Stage3score","Stage4score","Student","Stage2group","Stage1","Stage2","Stage3","Stage4","ZippGroup"
"58","Q2a",0,0,NA,0,"S1817",5,FALSE,FALSE,NA,FALSE,1
"59","Q2a",0,0,0,0,"S1818",5,FALSE,FALSE,FALSE,FALSE,1
"60","Q2a",1,1,1,1,"S1819",6,TRUE,TRUE,TRUE,TRUE,4
"61","Q2a",0,1,NA,1,"S1820",6,FALSE,TRUE,NA,TRUE,2
"62","Q2a",0,1,NA,NA,"S1821",6,FALSE,TRUE,NA,NA,2
"63","Q2a",0,1,0,1,"S1822",6,FALSE,TRUE,FALSE,TRUE,2
"64","Q2b",1,1,1,0,"S1801",1,TRUE,TRUE,TRUE,FALSE,4
"65","Q2b",0,1,1,0,"S1802",1,FALSE,TRUE,TRUE,FALSE,2
"66","Q2b",1,1,1,1,"S1803",1,TRUE,TRUE,TRUE,TRUE,4
"67","Q2b",0,1,1,0,"S1804",1,FALSE,TRUE,TRUE,FALSE,2
"68","Q2b",0,1,0,1,"S1805",2,FALSE,TRUE,FALSE,TRUE,2
"69","Q2b",1,1,NA,1,"S1806",2,TRUE,TRUE,NA,TRUE,4
"70","Q2b",1,1,1,1,"S1807",2,TRUE,TRUE,TRUE,TRUE,4
"71","Q2b",0,1,0,1,"S1808",2,FALSE,TRUE,FALSE,TRUE,2
"73","Q2b",1,1,1,1,"S1810",3,TRUE,TRUE,TRUE,TRUE,4
"74","Q2b",1,1,0,1,"S1811",3,TRUE,TRUE,FALSE,TRUE,4
"75","Q2b",0,1,0,0,"S1813",4,FALSE,TRUE,FALSE,FALSE,2
"76","Q2b",0,1,0,1,"S1814",4,FALSE,TRUE,FALSE,TRUE,2
"77","Q2b",1,1,1,1,"S1815",4,TRUE,TRUE,TRUE,TRUE,4
"78","Q2b",1,1,0,0,"S1816",5,TRUE,TRUE,FALSE,FALSE,4
"79","Q2b",0,1,NA,0,"S1817",5,FALSE,TRUE,NA,FALSE,2
"80","Q2b",0,1,0,1,"S1818",5,FALSE,TRUE,FALSE,TRUE,2
"81","Q2b",1,1,1,1,"S1819",6,TRUE,TRUE,TRUE,TRUE,4
"82","Q2b",0,1,NA,1,"S1820",6,FALSE,TRUE,NA,TRUE,2
"83","Q2b",0,1,NA,NA,"S1821",6,FALSE,TRUE,NA,NA,2
"84","Q2b",0,1,0,1,"S1822",6,FALSE,TRUE,FALSE,TRUE,2
"85","Q2c",1,1,0,NA,"S1801",1,TRUE,TRUE,FALSE,NA,4
"86","Q2c",1,1,1,NA,"S1802",1,TRUE,TRUE,TRUE,NA,4
"87","Q2c",1,1,1,NA,"S1803",1,TRUE,TRUE,TRUE,NA,4
"88","Q2c",0,1,1,NA,"S1804",1,FALSE,TRUE,TRUE,NA,2
"89","Q2c",1,1,1,NA,"S1805",2,TRUE,TRUE,TRUE,NA,4
"90","Q2c",0,1,NA,NA,"S1806",2,FALSE,TRUE,NA,NA,2
"91","Q2c",1,1,1,NA,"S1807",2,TRUE,TRUE,TRUE,NA,4
"92","Q2c",1,1,1,NA,"S1808",2,TRUE,TRUE,TRUE,NA,4
"94","Q2c",0,1,0,NA,"S1810",3,FALSE,TRUE,FALSE,NA,2
"95","Q2c",1,1,0,NA,"S1811",3,TRUE,TRUE,FALSE,NA,4
"96","Q2c",0,0,0,NA,"S1813",4,FALSE,FALSE,FALSE,NA,1
"97","Q2c",0,0,0,NA,"S1814",4,FALSE,FALSE,FALSE,NA,1
"98","Q2c",0,0,0,NA,"S1815",4,FALSE,FALSE,FALSE,NA,1
"99","Q2c",0,0,0,NA,"S1816",5,FALSE,FALSE,FALSE,NA,1
"100","Q2c",0,0,NA,NA,"S1817",5,FALSE,FALSE,NA,NA,1
"101","Q2c",0,0,1,NA,"S1818",5,FALSE,FALSE,TRUE,NA,1
"102","Q2c",0,0,1,NA,"S1819",6,FALSE,FALSE,TRUE,NA,1
"103","Q2c",0,0,NA,NA,"S1820",6,FALSE,FALSE,NA,NA,1
"104","Q2c",0,0,NA,NA,"S1821",6,FALSE,FALSE,NA,NA,1
"105","Q2c",1,0,0,NA,"S1822",6,TRUE,FALSE,FALSE,NA,3
"106","Q11",0,0,NA,0,"S1801",1,FALSE,FALSE,NA,FALSE,1
"107","Q11",0,0,NA,0,"S1802",1,FALSE,FALSE,NA,FALSE,1
"108","Q11",0,0,NA,0,"S1803",1,FALSE,FALSE,NA,FALSE,1
"109","Q11",0,0,NA,0,"S1804",1,FALSE,FALSE,NA,FALSE,1
"110","Q11",0,0,NA,0,"S1805",2,FALSE,FALSE,NA,FALSE,1
"111","Q11",0,0,NA,0,"S1806",2,FALSE,FALSE,NA,FALSE,1
"112","Q11",0,0,NA,0,"S1807",2,FALSE,FALSE,NA,FALSE,1
"113","Q11",0,0,NA,0,"S1808",2,FALSE,FALSE,NA,FALSE,1
"115","Q11",0,1,NA,0,"S1810",3,FALSE,TRUE,NA,FALSE,2
"116","Q11",1,1,NA,1,"S1811",3,TRUE,TRUE,NA,TRUE,4
"117","Q11",0,0,NA,0,"S1813",4,FALSE,FALSE,NA,FALSE,1
"118","Q11",0,0,NA,0,"S1814",4,FALSE,FALSE,NA,FALSE,1
"119","Q11",1,0,NA,1,"S1815",4,TRUE,FALSE,NA,TRUE,3
"120","Q11",0,0,NA,1,"S1816",5,FALSE,FALSE,NA,TRUE,1
"121","Q11",0,0,NA,0,"S1817",5,FALSE,FALSE,NA,FALSE,1
"122","Q11",0,0,NA,0,"S1818",5,FALSE,FALSE,NA,FALSE,1
"123","Q11",0,1,NA,0,"S1819",6,FALSE,TRUE,NA,FALSE,2
"124","Q11",1,1,NA,1,"S1820",6,TRUE,TRUE,NA,TRUE,4
"125","Q11",0,1,NA,NA,"S1821",6,FALSE,TRUE,NA,NA,2
"126","Q11",0,1,NA,1,"S1822",6,FALSE,TRUE,NA,TRUE,2
