"","Q","Stage1score","Stage2score","Stage3score","Stage4score","Student","Stage2group","Stage1","Stage2","Stage3","Stage4","ZippGroup"
"1","Q1a",0,1,1,NA,"S1801",1,FALSE,TRUE,TRUE,NA,2
"2","Q1a",0,1,1,NA,"S1802",1,FALSE,TRUE,TRUE,NA,2
"3","Q1a",0,1,1,NA,"S1803",1,FALSE,TRUE,TRUE,NA,2
"4","Q1a",0,1,1,NA,"S1804",1,FALSE,TRUE,TRUE,NA,2
"5","Q1a",0,1,0,NA,"S1805",2,FALSE,TRUE,FALSE,NA,2
"6","Q1a",1,1,NA,NA,"S1806",2,TRUE,TRUE,NA,NA,4
"7","Q1a",1,1,1,NA,"S1807",2,TRUE,TRUE,TRUE,NA,4
"8","Q1a",0,1,1,NA,"S1808",2,FALSE,TRUE,TRUE,NA,2
"10","Q1a",1,1,0,NA,"S1810",3,TRUE,TRUE,FALSE,NA,4
"11","Q1a",1,1,1,NA,"S1811",3,TRUE,TRUE,TRUE,NA,4
"12","Q1a",0,1,1,NA,"S1813",4,FALSE,TRUE,TRUE,NA,2
"13","Q1a",0,1,1,NA,"S1814",4,FALSE,TRUE,TRUE,NA,2
"14","Q1a",1,1,1,NA,"S1815",4,TRUE,TRUE,TRUE,NA,4
"15","Q1a",0,0,0,NA,"S1816",5,FALSE,FALSE,FALSE,NA,1
"16","Q1a",0,0,NA,NA,"S1817",5,FALSE,FALSE,NA,NA,1
"17","Q1a",1,0,1,NA,"S1818",5,TRUE,FALSE,TRUE,NA,3
"18","Q1a",0,1,1,NA,"S1819",6,FALSE,TRUE,TRUE,NA,2
"19","Q1a",1,1,NA,NA,"S1820",6,TRUE,TRUE,NA,NA,4
"20","Q1a",0,1,NA,NA,"S1821",6,FALSE,TRUE,NA,NA,2
"21","Q1a",0,1,1,NA,"S1822",6,FALSE,TRUE,TRUE,NA,2
"22","Q1b",0,0,0,0,"S1801",1,FALSE,FALSE,FALSE,FALSE,1
"23","Q1b",0,0,0,0,"S1802",1,FALSE,FALSE,FALSE,FALSE,1
"24","Q1b",0,0,0,0,"S1803",1,FALSE,FALSE,FALSE,FALSE,1
"25","Q1b",0,0,0,0,"S1804",1,FALSE,FALSE,FALSE,FALSE,1
"26","Q1b",0,1,1,0,"S1805",2,FALSE,TRUE,TRUE,FALSE,2
"27","Q1b",0,1,NA,0,"S1806",2,FALSE,TRUE,NA,FALSE,2
"28","Q1b",1,1,1,1,"S1807",2,TRUE,TRUE,TRUE,TRUE,4
"29","Q1b",0,1,1,1,"S1808",2,FALSE,TRUE,TRUE,TRUE,2
"31","Q1b",0,1,0,0,"S1810",3,FALSE,TRUE,FALSE,FALSE,2
"32","Q1b",1,1,0,1,"S1811",3,TRUE,TRUE,FALSE,TRUE,4
"33","Q1b",0,1,1,0,"S1813",4,FALSE,TRUE,TRUE,FALSE,2
"34","Q1b",0,1,1,1,"S1814",4,FALSE,TRUE,TRUE,TRUE,2
"35","Q1b",1,1,1,0,"S1815",4,TRUE,TRUE,TRUE,FALSE,4
"36","Q1b",0,0,0,0,"S1816",5,FALSE,FALSE,FALSE,FALSE,1
"37","Q1b",0,0,NA,0,"S1817",5,FALSE,FALSE,NA,FALSE,1
"38","Q1b",0,0,1,1,"S1818",5,FALSE,FALSE,TRUE,TRUE,1
"39","Q1b",0,0,0,1,"S1819",6,FALSE,FALSE,FALSE,TRUE,1
"40","Q1b",0,0,NA,1,"S1820",6,FALSE,FALSE,NA,TRUE,1
"41","Q1b",0,0,NA,NA,"S1821",6,FALSE,FALSE,NA,NA,1
"42","Q1b",0,0,0,0,"S1822",6,FALSE,FALSE,FALSE,FALSE,1
"43","Q2a",0,0,0,1,"S1801",1,FALSE,FALSE,FALSE,TRUE,1
"44","Q2a",0,0,0,0,"S1802",1,FALSE,FALSE,FALSE,FALSE,1
"45","Q2a",1,0,0,0,"S1803",1,TRUE,FALSE,FALSE,FALSE,3
"46","Q2a",0,0,0,0,"S1804",1,FALSE,FALSE,FALSE,FALSE,1
"47","Q2a",0,0,0,0,"S1805",2,FALSE,FALSE,FALSE,FALSE,1
"48","Q2a",0,0,NA,1,"S1806",2,FALSE,FALSE,NA,TRUE,1
"49","Q2a",0,0,0,1,"S1807",2,FALSE,FALSE,FALSE,TRUE,1
"50","Q2a",0,0,0,1,"S1808",2,FALSE,FALSE,FALSE,TRUE,1
"52","Q2a",0,1,1,1,"S1810",3,FALSE,TRUE,TRUE,TRUE,2
"53","Q2a",0,1,0,1,"S1811",3,FALSE,TRUE,FALSE,TRUE,2
"54","Q2a",0,0,1,0,"S1813",4,FALSE,FALSE,TRUE,FALSE,1
"55","Q2a",0,0,1,0,"S1814",4,FALSE,FALSE,TRUE,FALSE,1
"56","Q2a",0,0,0,1,"S1815",4,FALSE,FALSE,FALSE,TRUE,1
"57","Q2a",0,0,0,1,"S1816",5,FALSE,FALSE,FALSE,TRUE,1
